Match Date,Match,Home/Away,Team,Player Name,Minutes Played,Ball In Play Time,Time In Possession,Time Opponent In Possession,Time In Uncontrolled Possession,Time In Established Possession,Total Distance,Total Low Intensity Distance,Total High Intensity Distance,Stand Distance,Walk Distance,Jog Distance,Run Distance,High Speed Run Distance,High Speed Distance - Player Average,Sprint Distance,Ball In Play Total Distance,In Possession Total Distance,Opponent In Possession Total Distance,Uncontrolled Possession Total Distance,Ball Out Of Play Total Distance,Total Distance (m/min),Total Distance In Possession (m/min),Total Distance Opponent In Possession (m/min),Total Distance Uncontrolled Possession (m/min),Ball In Play HI Distance,In Possession HI Distance,Opponent In Possession HI Distance,Uncontrolled Possession HI Distance,Ball Out Of Play HI Distance,HI Distance (m/min),HI Distance In Possession (m/min),HI Distance Opponent In Possession (m/min),HI Distance Uncontrolled Possession (m/min),Ball In Play Sprint Distance,In Possession Sprint Distance,Opponent In Possession Sprint Distance,Uncontrolled Possession Sprint Distance,Ball Out Of Play Sprint Distance,Sprint Distance (m/min),Sprint Distance In Possession (m/min),Sprint Distance Opponent In Possession (m/min),Sprint Distance Uncontrolled Possession (m/min),HI Events,Sprint Events,HS Run Events,Maximum Speed (km/h),Deceleration Very High Events,Deceleration High Events,Deceleration Medium Events,Deceleration Low Events,Acceleration Low Events,Acceleration Medium Events,Acceleration High Events,Acceleration Very High Events,1-5TD,6-10TD,11-15TD,16-20TD,21-25TD,26-30TD,31-35TD,36-40TD,41-45TD,45+TD,46-50TD,51-55TD,56-60TD,61-65TD,66-70TD,71-75TD,76-80TD,81-85TD,86-90TD,90+TD,1-5HID,6-10HID,11-15HID,16-20HID,21-25HID,26-30HID,31-35HID,36-40HID,41-45HID,45+HID,46-50HID,51-55HID,56-60HID,61-65HID,66-70HID,71-75HID,76-80HID,81-85HID,86-90HID,90+HID,1-5NHID,6-10NHID,11-5NHID,16-20NHID,21-25NHID,26-30NHID,31-35NHID,36-40NHID,41-45NHID,45+NHID,46-50NHID,51-55NHID,56-60NHID,61-65NHID,66-70NHID,71-75NHID,76-80NHID,81-85NHID,86-90NHID,90+NHID,11-15NHID
11/09/2017,Team A  v Team Q,home,Team A,Player 3,97,44.4,21.2,21.1,2.1,7.7,8819.9,8320.6,499.4,53.0,3809.7,3362.3,1095.6,398.0,417.075,101.4,5844.5,2435.6,3145.4,263.5,2975.5,90.9,114.9,149.1,125.5,473.5,68.6,379.4,25.5,25.9,5.1,3.2,18.0,12.1,96.1,21.4,74.6,0.0,5.3,1.0,1.0,3.5,,30,6,22,32.0,6,12,54,239,252,60,10,3,468.7,528.7,603.2,465.9,550.0,528.0,386.3,376.8,510.2,171.1,498.7,450.3,493.1,282.0,420.4,445.7,409.8,468.1,377.0,386.0,12.6,43.4,59.9,0.0,29.8,8.9,6.3,43.5,51.1,13.6,40.0,32.6,25.5,0.0,7.8,37.5,0.0,44.4,17.8,24.7,456.09999999999997,485.30000000000007,543.3000000000001,465.9,520.2,519.1,380.0,333.3,459.09999999999997,157.5,458.7,417.7,467.6,282.0,412.59999999999997,408.2,409.8,423.70000000000005,359.2,361.3,543.3000000000001
11/09/2017,Team A  v Team Q,home,Team A,Player 22,20,8.6,3.4,4.3,0.9,0.3,2318.5,2181.6,136.9,7.0,774.4,1005.2,395.1,112.8,394.375,24.1,1365.7,531.3,703.9,130.6,952.8,115.9,156.3,163.7,145.1,122.6,23.8,81.5,17.3,14.4,6.8,7.0,19.0,19.2,24.1,4.0,11.4,8.7,0.0,1.2,1.2,2.7,9.7,8,2,6,30.3,1,3,18,67,76,18,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,553.8,605.1,587.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,45.5,38.2,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,531.1999999999999,559.6,548.8,527.3,0.0
11/09/2017,Team A  v Team Q,home,Team A,Player 2,5,2.0,1.0,0.7,0.3,0.0,547.3,497.7,49.6,1.9,205.5,191.4,98.9,49.6,249.275,0.0,274.4,111.6,119.8,43.0,272.9,109.5,111.6,171.1,143.3,15.2,0.0,15.2,0.0,34.4,9.9,,21.7,,0.0,0.0,0.0,0.0,0.0,,,,,3,0,3,23.1,0,0,4,14,14,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,508.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.799999999999997,483.9,0.0
26/09/2017,Team A  v Team O,home,Team A,Player 11,97,54.2,25.9,25.7,2.6,10.9,10963.0,9993.6,969.4,47.0,3697.5,4329.9,1919.1,744.1,550.3884615000001,225.3,7899.6,3567.8,3957.9,373.8,3063.4,113.0,137.8,154.0,143.8,955.1,496.0,413.1,46.1,14.2,10.0,19.2,16.1,17.7,219.8,147.3,50.6,21.9,5.5,2.3,5.7,2.0,8.4,52,12,46,33.6,1,25,97,269,299,95,17,2,609.0,602.2,592.4,533.6,597.6,552.4,630.2,642.3,540.4,90.9,744.4,577.2,458.3,525.9,541.5,435.9,596.1,547.5,485.1,660.0,55.7,58.9,104.6,41.3,95.0,59.2,34.4,80.1,72.5,13.3,47.4,55.2,43.2,38.4,38.6,28.8,17.0,27.8,26.9,31.0,553.3,543.3000000000001,487.79999999999995,492.3,502.6,493.2,595.8000000000001,562.1999999999999,467.9,77.60000000000001,697.0,522.0,415.1,487.5,502.9,407.09999999999997,579.1,519.7,458.20000000000005,629.0,487.79999999999995
26/09/2017,Team A  v Team O,home,Team A,Player 23,97,54.2,25.9,25.7,2.6,10.9,10083.8,9469.6,614.2,49.9,3766.6,4157.8,1495.3,444.7,295.7384615,169.4,7496.0,3271.5,3881.1,343.4,2587.8,104.0,126.3,151.0,132.1,594.3,134.4,431.7,28.2,19.9,6.3,5.2,16.8,10.8,169.4,38.5,107.4,23.5,0.0,1.7,1.5,4.2,9.0,35,10,28,31.9,6,6,77,250,300,66,15,1,581.1,535.0,570.9,511.2,601.4,485.7,548.4,601.1,450.5,74.7,631.0,551.4,587.9,482.1,553.2,389.1,524.6,532.7,420.0,451.8,11.8,16.4,54.2,52.2,54.4,43.3,62.7,36.6,50.6,0.0,11.9,17.5,45.7,27.9,33.2,0.0,14.1,32.9,11.1,37.7,569.3000000000001,518.6,516.6999999999999,459.0,547.0,442.4,485.7,564.5,399.9,74.7,619.1,533.9,542.1999999999999,454.20000000000005,520.0,389.1,510.5,499.80000000000007,408.9,414.1,516.6999999999999
26/09/2017,Team A  v Team O,home,Team A,Player 13,97,54.2,25.9,25.7,2.6,10.9,12018.7,10856.0,1162.7,31.7,3551.7,4960.3,2312.3,1008.6,752.5529412000001,154.1,8935.7,3999.7,4516.5,419.5,3083.0,123.9,154.4,175.7,161.3,1151.5,525.9,599.4,26.2,11.2,12.0,20.3,23.3,10.1,154.1,106.2,47.9,0.0,0.0,1.6,4.1,1.9,,67,7,58,31.8,1,15,93,316,332,87,13,1,710.2,712.4,672.2,574.8,759.7,519.3,650.7,679.0,549.2,126.5,770.0,540.4,595.9,574.4,627.0,459.8,632.4,611.4,560.4,692.9,65.7,66.0,108.3,38.1,116.5,57.4,64.5,56.4,61.2,8.9,82.0,65.2,98.6,22.4,25.3,25.3,33.2,67.6,58.6,41.5,644.5,646.4,563.9000000000001,536.6999999999999,643.2,461.9,586.2,622.6,488.00000000000006,117.6,688.0,475.2,497.29999999999995,552.0,601.7,434.5,599.1999999999999,543.8,501.79999999999995,651.4,563.9000000000001
26/09/2017,Team A  v Team O,home,Team A,Player 5,7,3.5,1.3,1.9,0.3,0.0,761.8,724.6,37.2,3.0,311.4,313.7,96.4,37.2,395.755,0.0,475.5,206.5,222.4,46.7,286.3,108.8,158.8,117.1,155.7,37.2,11.7,25.6,0.0,0.0,5.3,9.0,13.5,,0.0,0.0,0.0,0.0,0.0,,,,,4,0,4,24.4,0,1,5,16,18,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,681.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,30.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.9,651.6999999999999,0.0
26/09/2017,Team A  v Team O,home,Team A,Player 1,89,50.1,24.5,23.4,2.2,10.9,10201.3,9168.7,1032.6,33.7,3578.3,3835.7,1721.0,872.1,641.3461538,160.5,7540.3,3745.2,3490.5,304.6,2661.0,114.6,152.9,149.2,138.5,1008.3,533.8,428.0,46.6,24.3,11.6,21.8,18.3,21.2,148.9,86.6,50.8,11.5,11.6,1.8,3.5,2.2,5.2,61,9,54,33.3,3,21,79,245,245,94,17,1,669.4,622.2,615.3,549.7,611.0,541.4,598.9,668.2,420.2,77.0,701.3,598.7,480.9,532.8,634.6,527.7,541.1,551.1,259.6,0.0,75.7,77.9,84.1,34.4,35.1,65.5,76.1,78.7,6.6,0.0,90.2,56.9,55.4,70.8,57.2,22.1,32.5,80.7,32.6,0.0,593.6999999999999,544.3000000000001,531.1999999999999,515.3000000000001,575.9,475.9,522.8,589.5,413.59999999999997,77.0,611.0999999999999,541.8000000000001,425.5,461.99999999999994,577.4,505.6,508.6,470.40000000000003,227.00000000000003,0.0,531.1999999999999
26/09/2017,Team A  v Team O,home,Team A,Player 14,97,54.2,25.9,25.7,2.6,10.9,11245.5,10371.7,873.8,38.8,3955.8,4496.5,1880.6,679.0,564.0119047999999,194.8,8000.6,3725.2,3936.8,338.5,3244.9,115.9,143.8,153.2,130.2,854.7,420.2,372.3,62.2,19.1,9.0,16.2,14.5,23.9,194.8,95.8,63.2,35.8,0.0,2.0,3.7,2.5,13.8,47,11,42,30.1,2,17,87,290,313,72,20,0,708.8,642.8,626.3,548.4,696.2,535.5,666.7,574.5,531.4,109.1,733.8,563.7,570.8,514.2,624.5,430.5,641.3,569.2,434.9,522.8,50.4,43.6,78.4,44.0,95.7,5.6,59.2,47.9,51.0,0.0,63.7,29.3,74.4,50.5,59.1,7.9,40.7,40.1,2.3,30.0,658.4,599.1999999999999,547.9,504.4,600.5,529.9,607.5,526.6,480.4,109.1,670.0999999999999,534.4000000000001,496.4,463.70000000000005,565.4,422.6,600.5999999999999,529.1,432.59999999999997,492.79999999999995,547.9
26/09/2017,Team A  v Team O,home,Team A,Player 20,63,35.8,18.6,15.7,1.5,9.9,7853.5,7197.6,655.9,13.8,2506.6,3280.2,1397.0,537.6,532.0769231,118.3,5781.6,2782.6,2805.7,193.3,2071.9,124.7,149.6,178.7,128.9,652.1,152.1,492.9,7.1,3.8,10.4,8.2,31.4,4.7,118.3,23.5,94.8,0.0,0.0,1.9,1.3,6.0,,29,5,29,31.4,2,16,62,196,214,66,15,1,657.5,633.1,637.3,559.1,720.6,540.1,574.9,713.1,606.9,123.7,732.6,599.8,584.7,170.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,34.6,60.6,56.3,99.7,32.9,72.9,68.8,54.3,3.7,36.8,18.0,73.1,28.9,0.0,0.0,0.0,0.0,0.0,0.0,642.2,598.5,576.6999999999999,502.8,620.9,507.20000000000005,502.0,644.3000000000001,552.6,120.0,695.8000000000001,581.8,511.6,141.1,0.0,0.0,0.0,0.0,0.0,0.0,576.6999999999999
