Match Date,Match,Home/Away,Team,Player Name,Minutes Played,Ball In Play Time,Time In Possession,Time Opponent In Possession,Time In Uncontrolled Possession,Time In Established Possession,Total Distance,Total Low Intensity Distance,Total High Intensity Distance,Stand Distance,Walk Distance,Jog Distance,Run Distance,High Speed Run Distance,High Speed Distance - Player Average,Sprint Distance,Ball In Play Total Distance,In Possession Total Distance,Opponent In Possession Total Distance,Uncontrolled Possession Total Distance,Ball Out Of Play Total Distance,Total Distance (m/min),Total Distance In Possession (m/min),Total Distance Opponent In Possession (m/min),Total Distance Uncontrolled Possession (m/min),Ball In Play HI Distance,In Possession HI Distance,Opponent In Possession HI Distance,Uncontrolled Possession HI Distance,Ball Out Of Play HI Distance,HI Distance (m/min),HI Distance In Possession (m/min),HI Distance Opponent In Possession (m/min),HI Distance Uncontrolled Possession (m/min),Ball In Play Sprint Distance,In Possession Sprint Distance,Opponent In Possession Sprint Distance,Uncontrolled Possession Sprint Distance,Ball Out Of Play Sprint Distance,Sprint Distance (m/min),Sprint Distance In Possession (m/min),Sprint Distance Opponent In Possession (m/min),Sprint Distance Uncontrolled Possession (m/min),HI Events,Sprint Events,HS Run Events,Maximum Speed (km/h),Deceleration Very High Events,Deceleration High Events,Deceleration Medium Events,Deceleration Low Events,Acceleration Low Events,Acceleration Medium Events,Acceleration High Events,Acceleration Very High Events,1-5TD,6-10TD,11-15TD,16-20TD,21-25TD,26-30TD,31-35TD,36-40TD,41-45TD,45+TD,46-50TD,51-55TD,56-60TD,61-65TD,66-70TD,71-75TD,76-80TD,81-85TD,86-90TD,90+TD,1-5HID,6-10HID,11-15HID,16-20HID,21-25HID,26-30HID,31-35HID,36-40HID,41-45HID,45+HID,46-50HID,51-55HID,56-60HID,61-65HID,66-70HID,71-75HID,76-80HID,81-85HID,86-90HID,90+HID
11/09/2017,Team A  v Team Q,home,Team A,Player 3,97,44.4,21.2,21.1,2.1,7.7,8819.9,8320.6,499.4,53,3809.7,3362.3,1095.6,398,417.075,101.4,5844.5,2435.6,3145.4,263.5,2975.5,90.9,114.9,149.1,125.5,473.5,68.6,379.4,25.5,25.9,5.1,3.2,18,12.1,96.1,21.4,74.6,0,5.3,1,1,3.5,,30,6,22,32,6,12,54,239,252,60,10,3,468.7,528.7,603.2,465.9,550,528,386.3,376.8,510.2,171.1,498.7,450.3,493.1,282,420.4,445.7,409.8,468.1,377,386,12.6,43.4,59.9,0,29.8,8.9,6.3,43.5,51.1,13.6,40,32.6,25.5,0,7.8,37.5,0,44.4,17.8,24.7
11/09/2017,Team A  v Team Q,home,Team A,Player 22,20,8.6,3.4,4.3,0.9,0.3,2318.5,2181.6,136.9,7,774.4,1005.2,395.1,112.8,394.375,24.1,1365.7,531.3,703.9,130.6,952.8,115.9,156.3,163.7,145.1,122.6,23.8,81.5,17.3,14.4,6.8,7,19,19.2,24.1,4,11.4,8.7,0,1.2,1.2,2.7,9.7,8,2,6,30.3,1,3,18,67,76,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,553.8,605.1,587,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,45.5,38.2,30.7
11/09/2017,Team A  v Team Q,home,Team A,Player 2,5,2,1,0.7,0.3,0,547.3,497.7,49.6,1.9,205.5,191.4,98.9,49.6,249.275,0,274.4,111.6,119.8,43,272.9,109.5,111.6,171.1,143.3,15.2,0,15.2,0,34.4,9.9,,21.7,,0,0,0,0,0,,,,,3,0,3,23.1,0,0,4,14,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,508.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,24.5
26/09/2017,Team A  v Team O,home,Team A,Player 11,97,54.2,25.9,25.7,2.6,10.9,10963,9993.6,969.4,47,3697.5,4329.9,1919.1,744.1,550.3884615,225.3,7899.6,3567.8,3957.9,373.8,3063.4,113,137.8,154,143.8,955.1,496,413.1,46.1,14.2,10,19.2,16.1,17.7,219.8,147.3,50.6,21.9,5.5,2.3,5.7,2,8.4,52,12,46,33.6,1,25,97,269,299,95,17,2,609,602.2,592.4,533.6,597.6,552.4,630.2,642.3,540.4,90.9,744.4,577.2,458.3,525.9,541.5,435.9,596.1,547.5,485.1,660,55.7,58.9,104.6,41.3,95,59.2,34.4,80.1,72.5,13.3,47.4,55.2,43.2,38.4,38.6,28.8,17,27.8,26.9,31
26/09/2017,Team A  v Team O,home,Team A,Player 23,97,54.2,25.9,25.7,2.6,10.9,10083.8,9469.6,614.2,49.9,3766.6,4157.8,1495.3,444.7,295.7384615,169.4,7496,3271.5,3881.1,343.4,2587.8,104,126.3,151,132.1,594.3,134.4,431.7,28.2,19.9,6.3,5.2,16.8,10.8,169.4,38.5,107.4,23.5,0,1.7,1.5,4.2,9,35,10,28,31.9,6,6,77,250,300,66,15,1,581.1,535,570.9,511.2,601.4,485.7,548.4,601.1,450.5,74.7,631,551.4,587.9,482.1,553.2,389.1,524.6,532.7,420,451.8,11.8,16.4,54.2,52.2,54.4,43.3,62.7,36.6,50.6,0,11.9,17.5,45.7,27.9,33.2,0,14.1,32.9,11.1,37.7
26/09/2017,Team A  v Team O,home,Team A,Player 13,97,54.2,25.9,25.7,2.6,10.9,12018.7,10856,1162.7,31.7,3551.7,4960.3,2312.3,1008.6,752.5529412,154.1,8935.7,3999.7,4516.5,419.5,3083,123.9,154.4,175.7,161.3,1151.5,525.9,599.4,26.2,11.2,12,20.3,23.3,10.1,154.1,106.2,47.9,0,0,1.6,4.1,1.9,,67,7,58,31.8,1,15,93,316,332,87,13,1,710.2,712.4,672.2,574.8,759.7,519.3,650.7,679,549.2,126.5,770,540.4,595.9,574.4,627,459.8,632.4,611.4,560.4,692.9,65.7,66,108.3,38.1,116.5,57.4,64.5,56.4,61.2,8.9,82,65.2,98.6,22.4,25.3,25.3,33.2,67.6,58.6,41.5
26/09/2017,Team A  v Team O,home,Team A,Player 5,7,3.5,1.3,1.9,0.3,0,761.8,724.6,37.2,3,311.4,313.7,96.4,37.2,395.755,0,475.5,206.5,222.4,46.7,286.3,108.8,158.8,117.1,155.7,37.2,11.7,25.6,0,0,5.3,9,13.5,,0,0,0,0,0,,,,,4,0,4,24.4,0,1,5,16,18,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,681.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,30.1
26/09/2017,Team A  v Team O,home,Team A,Player 1,89,50.1,24.5,23.4,2.2,10.9,10201.3,9168.7,1032.6,33.7,3578.3,3835.7,1721,872.1,641.3461538,160.5,7540.3,3745.2,3490.5,304.6,2661,114.6,152.9,149.2,138.5,1008.3,533.8,428,46.6,24.3,11.6,21.8,18.3,21.2,148.9,86.6,50.8,11.5,11.6,1.8,3.5,2.2,5.2,61,9,54,33.3,3,21,79,245,245,94,17,1,669.4,622.2,615.3,549.7,611,541.4,598.9,668.2,420.2,77,701.3,598.7,480.9,532.8,634.6,527.7,541.1,551.1,259.6,0,75.7,77.9,84.1,34.4,35.1,65.5,76.1,78.7,6.6,0,90.2,56.9,55.4,70.8,57.2,22.1,32.5,80.7,32.6,0
26/09/2017,Team A  v Team O,home,Team A,Player 14,97,54.2,25.9,25.7,2.6,10.9,11245.5,10371.7,873.8,38.8,3955.8,4496.5,1880.6,679,564.0119048,194.8,8000.6,3725.2,3936.8,338.5,3244.9,115.9,143.8,153.2,130.2,854.7,420.2,372.3,62.2,19.1,9,16.2,14.5,23.9,194.8,95.8,63.2,35.8,0,2,3.7,2.5,13.8,47,11,42,30.1,2,17,87,290,313,72,20,0,708.8,642.8,626.3,548.4,696.2,535.5,666.7,574.5,531.4,109.1,733.8,563.7,570.8,514.2,624.5,430.5,641.3,569.2,434.9,522.8,50.4,43.6,78.4,44,95.7,5.6,59.2,47.9,51,0,63.7,29.3,74.4,50.5,59.1,7.9,40.7,40.1,2.3,30
26/09/2017,Team A  v Team O,home,Team A,Player 20,63,35.8,18.6,15.7,1.5,9.9,7853.5,7197.6,655.9,13.8,2506.6,3280.2,1397,537.6,532.0769231,118.3,5781.6,2782.6,2805.7,193.3,2071.9,124.7,149.6,178.7,128.9,652.1,152.1,492.9,7.1,3.8,10.4,8.2,31.4,4.7,118.3,23.5,94.8,0,0,1.9,1.3,6,,29,5,29,31.4,2,16,62,196,214,66,15,1,657.5,633.1,637.3,559.1,720.6,540.1,574.9,713.1,606.9,123.7,732.6,599.8,584.7,170,0,0,0,0,0,0,15.3,34.6,60.6,56.3,99.7,32.9,72.9,68.8,54.3,3.7,36.8,18,73.1,28.9,0,0,0,0,0,0
26/09/2017,Team A  v Team O,home,Team A,Player 10,97,54.2,25.9,25.7,2.6,10.9,10210.4,9606.8,603.6,44,4142,3746.9,1673.9,483,417.312,120.6,7336.1,3096.6,3859,380.5,2874.3,105.3,119.6,150.2,146.3,583.9,76.7,449.4,57.8,19.7,6.2,3,17.5,22.2,120.6,8,100.5,12,0,1.2,0.3,3.9,4.6,35,6,34,32,1,17,65,262,286,84,10,0,588,546,560.9,509.9,535.5,473,546.1,612.6,500.3,76,623.7,550.6,571.2,510.7,554.3,470.6,494.2,515.6,467.5,503.9,37.9,49.8,43.5,14.6,48.8,27.8,55.4,25.3,40.4,0,32.4,20.6,15.2,61.8,29.3,11.9,16.2,42.2,16.2,14.2
26/09/2017,Team A  v Team O,home,Team A,Player 4,97,54.2,25.9,25.7,2.6,10.9,11490.3,10500.6,989.8,26.7,4072.2,4651.4,1750.3,730.7,492.5228571,259.1,8362.1,3731.3,4196.3,434.5,3128.2,118.5,144.1,163.3,167.1,951.5,311.1,596,44.4,38.2,10.2,12,23.2,17.1,243.1,92.7,136.4,14,16,2.7,3.6,5.3,5.4,55,13,50,30.6,9,13,70,260,300,59,19,1,626.9,675.6,639.1,532.4,682.1,533.8,626.1,684.1,504.6,127.3,746.4,609,530.5,560.9,648.8,467.2,555.8,597,490.4,652.3,53.3,104.3,60.6,18.3,102.1,0.9,57.8,60.8,39.4,7.8,77.9,39.7,79.3,55.8,61.1,33.9,34.2,27.5,10.8,64.4
26/09/2017,Team A  v Team O,home,Team A,Player 12,3,1.1,0.6,0.4,0.1,0,381.6,344.8,36.8,1.1,97.6,160.2,85.9,22.9,660.9357143,13.8,219.7,112.2,91.4,16,161.9,127.2,187,228.5,160,36.8,19.5,17.2,0,0,12.3,32.5,43,,13.8,6.4,7.4,0,0,4.6,10.7,18.5,,2,0,0,28.3,0,0,5,17,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8
26/09/2017,Team A  v Team O,home,Team A,Player 6,93,52.8,25.2,25.3,2.3,10.9,11249.9,9933.7,1316.2,23.2,4096.8,4037.5,1776.2,863.1,785.3575,453.1,8082.1,4087.7,3608.1,386.3,3167.8,121,162.2,142.6,168,1275.5,789.5,407.9,78.1,40.7,14.2,31.3,16.1,34,446.2,279.9,132.2,34.1,6.9,4.9,11.1,5.2,14.8,69,20,44,37.1,6,16,75,236,244,72,26,5,724.2,628.4,638.1,595.1,662.5,515.8,614.8,694.2,502.6,82.9,721.4,598.1,569.9,502.6,646.4,518.3,568.4,634.9,598.3,233,159,95.1,114.2,46.3,51,46.5,77.3,44,35.1,20.4,73.4,42.2,83.6,87.9,97.3,28,24.4,94.5,82.9,13.1
26/09/2017,Team A  v Team O,home,Team A,Player 24,33,18.2,7.2,9.9,1.1,1,3784.6,3546.1,238.5,11.4,1276.3,1579,679.5,206.8,247.95,31.8,2829.4,1034.9,1602,192.5,955.3,114.7,143.7,161.8,175,230.9,132,75.9,23,7.6,7.2,18.3,7.7,20.9,27.8,23.7,0,4.2,3.9,1,3.3,,3.8,11,2,9,29.4,0,4,30,96,87,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.8,700.9,441.6,540,603.9,528.8,667.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,32.3,59.3,26.9,53.6,20.2,42.8
26/09/2017,Team A  v Team O,home,Team A,Player 3,97,54.2,25.9,25.7,2.6,10.9,9494,9071.3,422.7,48.4,3855.6,3903.4,1264,342,417.075,80.6,6892.7,2850.3,3734,308.4,2601.2,97.9,110.1,145.3,118.6,402.5,39.7,357.6,5.2,20.1,4.4,1.5,13.9,2,73.1,0,73.1,0,7.5,0.8,,2.8,,21,5,20,33.1,0,11,48,197,241,60,7,1,524.1,533.8,517.8,498.3,565.4,468.2,466.2,560.1,468.2,65.5,580.1,516,524,467.8,508.6,394.6,454.1,463.3,406.2,511.6,1.6,21.3,42.9,34.1,46.4,24.9,32,16.5,59.1,0,16.5,4,15.5,27.9,9.7,0,4.4,17.8,7,41.1
16/10/2017,Team R v Team A,away,Team A,Player 11,95,58.6,28.4,29,1.2,13.5,10598.1,9715.6,882.5,49.9,3529.5,4285.7,1850.6,778.2,550.3884615,104.4,8150,3581,4395.5,173.5,2448.2,111.6,126.1,151.6,144.6,852.8,296.7,540,16.1,29.7,9.3,10.4,18.6,13.4,104.4,19.3,82.3,2.7,0,1.1,0.7,2.8,2.3,48,4,49,32.1,5,17,80,254,266,104,12,2,538.2,526.1,590.8,448.9,531.4,610.2,595.7,612.9,588.4,115.3,579.6,713.1,451.8,523.1,587.1,529.8,598.9,510.4,504.8,441.6,37.2,33.2,45.8,0,106.2,79.9,71.6,73.8,83.2,27.3,61.4,104.3,10.7,7.8,11.6,23.3,28.4,14.1,58.5,4.1
16/10/2017,Team R v Team A,away,Team A,Player 17,70,46.4,24.9,20.7,0.8,12.6,7624.8,7295.5,329.3,27.3,2875.3,3086.1,1306.9,279,488.4235294,50.3,6279,3039,3125.5,114.4,1345.8,108.9,122,151,143,299.6,60.8,238.8,0,29.7,4.7,2.4,11.5,,50.3,2,48.3,0,0,0.7,0.1,2.3,,21,2,15,31.5,1,4,48,176,184,66,8,1,537.1,543.1,573.4,553.4,502,619,543,572.3,553.3,90.5,572.3,650.8,446.5,399.2,468.9,0,0,0,0,0,25.4,15.5,24.6,54.8,68.5,16,12.5,12.5,26.6,15,14.3,14.2,2.6,7.3,19.6,0,0,0,0,0
16/10/2017,Team R v Team A,away,Team A,Player 23,95,58.6,28.4,29,1.2,13.5,10691.2,10062.3,629,37.5,3686.8,4546.6,1791.4,508,295.7384615,120.9,8517.9,3760.6,4581.5,175.7,2173.3,112.5,132.4,158,146.4,607.9,140.9,456.5,10.4,21.1,6.6,5,15.7,8.7,120.9,27.2,93.7,0,0,1.3,1,3.2,,39,8,34,29.2,0,13,59,265,289,65,9,1,600.7,527.5,619.8,608.4,479.9,653.9,657.9,640.6,623.5,110.8,610.9,677.6,499.5,445.4,503.1,531.2,525.7,542.9,497.9,334,37.5,12.9,60.4,69.4,23.8,15.5,31.2,40.3,19.3,27.2,45.6,28.6,32.2,10.3,24.8,29.8,56.3,21.1,42.9,0
16/10/2017,Team R v Team A,away,Team A,Player 13,95,58.6,28.4,29,1.2,13.5,11727.9,10921.6,806.2,31,3252.6,5377.5,2260.6,716.8,752.5529412,89.4,9283.9,4169.9,4921.2,192.8,2444,123.5,146.8,169.7,160.7,782.4,266,487.5,28.9,23.8,8.5,9.4,16.8,24.1,89.4,29.4,60,0,0,0.9,1,2.1,,50,7,54,30,0,10,79,264,308,71,6,0,601.4,639.8,718.8,566.8,537,707.7,746.4,636.1,621.7,154.8,674.1,729.8,458,515.3,610.8,595.9,605.6,625.7,576.4,405.9,45.7,48.2,68.4,22.5,49.5,73.3,46.9,49,2.5,54.4,18,74.7,0,16,18.4,30.6,92.4,21.9,44.4,29.5
16/10/2017,Team R v Team A,away,Team A,Player 1,85,54.6,27.5,26,1,13.5,9999.8,9126.5,873.3,35.8,3259.3,3991.1,1840.3,769.2,641.3461538,104.1,8026.4,4004.8,3849.5,172,1973.4,117.6,145.6,148.1,172,856.2,514.3,315.9,26,17.1,10.3,18.7,12.1,26,98.2,64.1,29.8,4.3,5.9,1.2,2.3,1.1,4.3,56,8,50,29.3,2,26,78,217,235,77,22,1,606.8,582.7,691.7,520.9,545.4,699.7,665.2,536.5,588.8,103.8,578.8,675.6,497.8,518.9,586,545.4,518.8,536.9,0,0,64.2,45.8,77.7,21.2,101.8,90.2,35.9,40.4,54.8,7.4,74,84.2,16.3,14.4,62.8,13.5,37.3,31.4,0,0
16/10/2017,Team R v Team A,away,Team A,Player 14,95,58.6,28.4,29,1.2,13.5,11316.5,10408.1,908.5,27.8,3960.4,4610.2,1809.7,731.9,564.0119048,176.6,8656.5,4230.5,4280.9,145,2660,119.1,149,147.6,120.8,896,546.3,349.8,0,12.4,9.6,19.2,12.1,,176.6,131.4,45.2,0,0,1.9,4.6,1.6,,49,8,46,32.9,1,16,86,253,251,89,7,0,612.3,618.9,695.7,599.8,523.5,688.7,674.3,590.4,636.5,118.5,645.3,690.9,503.4,498.9,648.1,578.6,509.3,549.3,512.5,421.6,47,107.1,106.6,52.1,4.1,117.4,40.7,33.8,43.9,5.6,35.8,51.9,52.1,33.5,28.8,33.3,33.5,38.8,30,12.6
16/10/2017,Team R v Team A,away,Team A,Player 20,95,58.6,28.4,29,1.2,13.5,11885.1,10997.2,887.9,28.2,3651.5,4935.4,2382.1,775.6,532.0769231,112.2,9381.3,4078.4,5094.2,208.7,2503.8,125.1,143.6,175.7,173.9,880.6,333,547.7,0,7.2,9.3,11.7,18.9,,112.2,59.6,52.6,0,0,1.2,2.1,1.8,,49,6,48,31.1,3,13,77,230,284,67,4,1,644.5,598.4,691.5,568.1,603,719.2,702.5,671,639.4,119.8,645.5,781.1,484,632.1,632.1,586.3,631.5,577,553.1,404.9,16.7,30.2,45.5,20.5,66.9,75.2,86,47.7,53.3,1.9,24.4,108.8,13.6,71.7,38.8,26.8,62.3,49.8,8.9,39
16/10/2017,Team R v Team A,away,Team A,Player 10,23,11.8,3.2,8.2,0.4,0.9,2471.6,2346.7,125,8.7,907.1,995.9,434.9,116.3,417.312,8.7,1736,388.2,1277.7,70.1,735.6,107.5,121.3,155.8,175.2,125,1.7,119.5,3.8,0,5.4,0.5,14.6,9.5,8.7,0,8.7,0,0,0,,1.1,,7,1,7,27.4,0,3,21,45,54,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.5,580.5,511.8,498.1,362.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27.2,9.4,38.4,7
